t,I,Type,"Type Numerical(A=0, C=1, T=2, G=3)",Blockade_Height
0.11,0.564,A,0,0.394264
0.05,0.55819,A,0,0.400074
0.09,0.52902,A,0,0.429244
0.32,0.67121,A,0,0.287054
0.45,0.81738,A,0,0.140884
0.47,0.86346,A,0,0.094804
0.11,0.56842,A,0,0.389844
0.07,0.57412,A,0,0.384144
0.24,0.56203,A,0,0.396234
0.45,0.62594,A,0,0.332324
0.15,1.00958,A,0,-0.051316
0.08,0.539,A,0,0.419264
0.24,0.9157,A,0,0.042564
0.55,0.86322,A,0,0.095044
0.35,0.98465,A,0,-0.026386
0.4,0.92533,A,0,0.032934
0.15,0.53745,A,0,0.420814
0.49,0.55307,A,0,0.405194
0.06,0.54073,A,0,0.417534
0.67,1.06888,A,0,-0.110616
0.9,0.89136,A,0,0.066904
0.65,0.58495,A,0,0.373314
0.43,0.85128,A,0,0.106984
0.34,0.89261,A,0,0.065654
0.29,0.80146,A,0,0.156804
0.76,0.87969,A,0,0.078574
1.01,0.95457,A,0,0.003694
0.43,0.58363,A,0,0.374634
0.52,0.75018,A,0,0.208084
0.51,0.90216,A,0,0.056104
0.5,0.8625,A,0,0.095764
0.45,1.52111,A,0,-0.562846
0.61,0.95095,A,0,0.007314
0.99,0.90323,A,0,0.055034
0.47,0.81292,A,0,0.145344
0.84,0.83443,A,0,0.123834
0.87,1.00562,A,0,-0.047356
0.7,0.88217,A,0,0.076094
0.78,0.88914,A,0,0.069124
0.75,1.03294,A,0,-0.074676
0.5,0.83178,A,0,0.126484
0.53,0.77193,A,0,0.186334
0.5,0.85466,A,0,0.103604
0.31,0.95214,A,0,0.006124
0.1,1.19591,A,0,-0.237646
0.58,0.80587,A,0,0.152394
0.51,0.88545,A,0,0.072814
0.53,0.78688,A,0,0.171384
0.37,0.84629,A,0,0.111974
0.55,0.64668,A,0,0.311584
0.69,0.78531,A,0,0.172954
0.16,0.7062,A,0,0.252064
0.5,0.89915,A,0,0.059114
0.48,0.90342,A,0,0.054844
0.6,0.78855,A,0,0.169714
0.55,0.77653,A,0,0.181734
0.61,0.79336,A,0,0.164904
0.88,1.02123,A,0,-0.062966
0.29,0.82382,A,0,0.134444
0.62,0.72105,A,0,0.237214
0.35,0.73944,A,0,0.218824
0.35,0.9004,A,0,0.057864
0.2799,0.8138,A,0,0.144464
0.26,0.80469,A,0,0.153574
0.32,0.86483,A,0,0.093434
0.29,0.6321,A,0,0.326164
0.43,1.01702,A,0,-0.058756
0.93,0.84614,A,0,0.112124
0.54,0.97129,A,0,-0.013026
1.07,0.92626,A,0,0.032004
1.08,0.98222,A,0,-0.023956
0.79,0.81408,A,0,0.144184
0.97,1.02695,A,0,-0.068686
0.91,0.97175,A,0,-0.013486
0.41,0.78039,A,0,0.177874
0.19,0.53698,A,0,0.421284
0.11,0.55929,A,0,0.398974
0.4401,0.55553,A,0,0.402734
1.0401,0.91929,A,0,0.038974
0.44,0.83641,A,0,0.121854
0.17,0.83466,A,0,0.123604
0.3,0.89446,A,0,0.063804
0.38,0.90794,A,0,0.050324
0.8301,0.91027,A,0,0.047994
0.94,0.87961,A,0,0.078654
0.76,0.99353,A,0,-0.035266
0.4,1.0293,A,0,-0.071036
0.3499,0.96189,A,0,-0.003626
0.51,0.89849,A,0,0.059774
0.2,0.72172,A,0,0.236544
0.0801,0.57492,A,0,0.383344
0.71,0.78184,A,0,0.176424
0.13,0.56314,A,0,0.395124
0.33,0.69649,A,0,0.261774
0.53,0.75849,A,0,0.199774
0.73,1.04076,A,0,-0.082496
1.14,0.91451,A,0,0.043754
0.68,0.8772,A,0,0.081064
0.78,0.91843,A,0,0.039834
0.42,0.9229,A,0,0.035364
0.43,0.79085,A,0,0.167414
0.57,0.79392,A,0,0.164344
0.42,0.91163,A,0,0.046634
0.5199,0.7967,A,0,0.161564
0.62,0.84715,A,0,0.111114
0.28,0.87853,A,0,0.079734
0.4199,0.8744,A,0,0.083864
0.56,0.90141,A,0,0.056854
0.56,0.84262,A,0,0.115644
0.0801,0.59456,A,0,0.363704
0.4,0.8406,A,0,0.117664
0.81,1.01037,A,0,-0.052106
0.22,0.88159,A,0,0.076674
0.35,0.8194,A,0,0.138864
